Image,Species,Behavior,Shade,Plant,Part,Location,Iguana_and_tortoise_present
SANTA FE 1001/2023-08-27 13-30-31 M 1_3_crop1.JPG,Iguana,Resting_elevated,Shade,Woody,Trunk,Ground,False
SANTA FE 1001/2023-08-27 13-31-31 M 2_3_crop1.JPG,Iguana,Foraging,Shade,Woody,Trunk,Ground,False
SANTA FE 1001/2023-08-27 13-32-31 M 3_3_crop1.JPG,Iguana,Foraging,Shade,Woody,Trunk,Ground,False
SANTA FE 1001/2023-08-28 07-48-25 M 2_3_crop1.JPG,Other,Unknown,Sunlight,NA,NA,NA,False
SANTA FE 1001/2023-08-31 08-41-46 M 1_3_crop1.JPG,Iguana,Resting_ground,Sunlight,Grass,NA,Ground,False
SANTA FE 1001/2023-08-31 08-42-46 M 2_3_crop1.JPG,Iguana,Resting_ground,Sunlight,Grass,NA,NA,False
SANTA FE 1001/2023-08-31 08-43-46 M 3_3_crop1.JPG,Iguana,Resting_ground,Sunlight,NA,NA,Ground,False
SANTA FE 1001/2023-09-02 13-04-20 M 1_3_crop1.JPG,Iguana,Unknown,Shade,Woody,Trunk,Ground,False
SANTA FE 1001/2023-09-02 13-05-20 M 2_3_crop1.JPG,Iguana,Unknown,Shade,Woody,Trunk,Ground,False
SANTA FE 1001/2023-09-02 13-06-20 M 3_3_crop1.JPG,Iguana,Resting_elevated,Shade,Woody,Trunk,NA,False
SANTA FE 1001/2023-09-03 08-20-58 M 1_3_crop1.JPG,Other,Unknown,Unknown,NA,NA,Ground,False
SANTA FE 1001/2023-09-03 09-11-09 M 1_3_crop1.JPG,Other,Unknown,Unknown,NA,Unknown,NA,False
SANTA FE 1001/2023-09-03 12-28-52 M 1_3_crop1.JPG,Iguana,Resting_ground,Shade,Grass,NA,Ground,False
SANTA FE 1001/2023-09-03 12-29-52 M 2_3_crop1.JPG,Iguana,Resting_elevated,Shade,Grass,NA,Ground,False
SANTA FE 1001/2023-09-03 12-59-13 M 1_3_crop1.JPG,Iguana,Resting_ground,Shade,Grass,NA,Ground,False
SANTA FE 1001/2023-09-03 13-00-13 M 2_3_crop1.JPG,Iguana,Resting_ground,Shade,Grass,NA,NA,False
SANTA FE 1001/2023-09-03 13-01-13 M 3_3_crop1.JPG,Iguana,Resting_ground,Shade,Grass,NA,Ground,False
SANTA FE 1001/2023-09-03 13-25-57 M 1_3_crop1.JPG,Iguana,Resting_ground,Shade,Grass,NA,Ground,False
SANTA FE 1001/2023-09-03 13-26-57 M 2_3_crop1.JPG,Iguana,Resting_ground,Shade,NA,NA,Ground,False
SANTA FE 1001/2023-09-03 13-27-57 M 3_3_crop1.JPG,Iguana,Foraging,Shade,Grass,NA,Ground,False
SANTA FE 1001/2023-09-03 13-39-04 M 1_3_crop1.JPG,Other,Unknown,Unknown,NA,NA,NA,False
SANTA FE 1001/2023-09-03 13-40-04 M 2_3_crop1.JPG,Iguana,Unknown,Unknown,NA,NA,NA,False
SANTA FE 1001/2023-09-03 14-06-09 M 1_3_crop1.JPG,Iguana,Foraging,Sunlight,Woody,Trunk,Ground,False
SANTA FE 1001/2023-09-03 14-31-04 M 1_3_crop1.JPG,Iguana,Foraging,Sunlight,Woody,Trunk,Ground,False
