Image,Species,Behavior,Shade,Plant,Part,Location,Iguana_and_tortoise_present
cropped/SANTA FE 905/2024-03-07 14-46-40 M 2_3_crop1.JPG,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED
cropped/SANTA FE 905/2024-04-12 13-15-41 M 1_3_crop1.JPG,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED
cropped/SANTA FE 905/2023-08-15 13-16-41 M 3_3_crop1.JPG,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED
cropped/SANTA FE 905/2024-07-23 12-36-19 M 1_3_crop1.JPG,Iguana,Resting_ground,Shade,Grass,NA,Ground,False
cropped/SANTA FE 983/DCIM/100RECNX/RCNX2196_crop1.JPG,Iguana,Resting_elevated,Shade,Grass,NA,Ground,False
cropped/SANTA FE 983/DCIM/100RECNX/RCNX1898_crop1.JPG,Iguana,Resting_elevated,Shade,Grass,NA,Ground,False
cropped/SANTA FE 905/2024-03-08 14-01-50 M 2_3_crop1.JPG,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED
cropped/SANTA FE 1001/2023-11-13 11-29-26 M 1_3_crop1.JPG,Iguana,Resting_elevated,Shade,Woody,Trunk,Ground,False
SANTA FE 983/DCIM/100RECNX/RCNX0028_crop1.JPG,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED
cropped/SANTA FE 1001/2023-08-04 12-36-49 M 3_3_crop1.JPG,Tortoise,Sleeping,Shade,Woody,Trunk,Ground,False
cropped/SANTA FE 976/2023-07-29 12-37-03 M 1_3_crop1.JPG,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED
cropped/SANTA FE 1001/2023-12-01 12-59-27 M 2_3_crop1.JPG,Iguana,Resting_ground,Shade,Grass,NA,Ground,False
cropped/SANTA FE 975/2023-09-22 10-26-52 M 3_3_crop1.JPG,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED
cropped/SANTA FE 905/2024-03-03 14-57-57 M 1_3_crop1.JPG,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED
cropped/SANTA FE 983/DCIM/100RECNX/RCNX1227_crop1.JPG,Iguana,Sleeping,Unknown,Unknown,Unknown,Ground,False
SANTA FE 1001/2023-12-03 11-25-50 M 2_3_crop1.JPG,Iguana,Foraging,Shade,Woody,Trunk,Ground,False
cropped/SANTA FE 975/2024-02-28 14-55-56 M 1_3_crop1.JPG,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED
cropped/SANTA FE 976/2024-05-26 10-37-44 M 2_3_crop1.JPG,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED
cropped/SANTA FE 983/DCIM/101RECNX/RCNX0638_crop1.JPG,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED
cropped/SANTA FE 976/2023-11-17 10-59-25 M 1_3_crop1.JPG,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED
cropped/SANTA FE 976/2024-02-07 15-06-29 M 3_3_crop1.JPG,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED
SANTA FE 1001/2024-01-23 07-57-53 M 1_3_crop1.JPG,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED
SANTA FE 1001/2023-12-12 13-29-52 M 3_3_crop1.JPG,Iguana,Resting_elevated,Shade,Woody,Trunk,Ground,False
SANTA FE 983/DCIM/100RECNX/RCNX1862_crop1.JPG,Iguana,Resting_elevated,Unknown,Grass,Unknown,Ground,False
SANTA FE 1001/2024-02-25 13-29-15 M 2_3_crop1.JPG,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED
SANTA FE 983/DCIM/100RECNX/RCNX5227_crop1.JPG,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED
SANTA FE 1001/2024-03-01 10-39-55 M 2_3_crop1.JPG,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED
cropped/SANTA FE 976/2023-11-27 07-13-29 M 1_3_crop1.JPG,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED
cropped/SANTA FE 983/DCIM/100RECNX/RCNX2535_crop1.JPG,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED
